n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
1360,23.6631,7934844,1713926304,0.0115481,3872,836352,0.0115409,3872,836352
1368,23.8478,7996796,1727307936,0.0115504,3872,836352,0.0115319,3872,836352
1376,24.0322,8058748,1740689568,0.0115439,3872,836352,0.0115131,3872,836352
1384,24.2165,8120700,1754071200,0.0115378,3872,836352,0.0115166,3872,836352
1392,24.4008,8182652,1767452832,0.0115259,3872,836352,0.0115202,3872,836352
1400,24.5851,8244604,1780834464,0.0115477,3872,836352,0.0115231,3872,836352
1408,24.7694,8306556,1794216096,0.0115495,3872,836352,0.011519,3872,836352
1416,24.9538,8368508,1807597728,0.011529,3872,836352,0.0115234,3872,836352
1424,25.1381,8430460,1820979360,0.0115273,3872,836352,0.0114933,3872,836352
1432,25.3222,8492412,1834360992,0.011526,3872,836352,0.011504,3872,836352
1440,25.5063,8554364,1847742624,0.0115201,3872,836352,0.0115187,3872,836352
1448,25.6904,8616316,1861124256,0.0115388,3872,836352,0.011498,3872,836352
1456,25.8744,8678268,1874505888,0.0115456,3872,836352,0.0115266,3872,836352
1464,26.0587,8740220,1887887520,0.0115429,3872,836352,0.0115126,3872,836352
1472,26.243,8802172,1901269152,0.011533,3872,836352,0.0115014,3872,836352
1480,26.4274,8864124,1914650784,0.0115445,3872,836352,0.011507,3872,836352
1488,26.6115,8926076,1928032416,0.0115196,3872,836352,0.0115132,3872,836352
1496,26.7956,8988028,1941414048,0.011533,3872,836352,0.0115247,3872,836352
1504,26.9795,9049980,1954795680,0.0115377,3872,836352,0.0114998,3872,836352
1512,27.1638,9111932,1968177312,0.0115495,3872,836352,0.0115303,3872,836352
1520,27.3481,9173884,1981558944,0.0115678,3872,836352,0.0115218,3872,836352
1528,27.5325,9235836,1994940576,0.0115452,3872,836352,0.011529,3872,836352
1536,27.7168,9297788,2008322208,0.0115389,3872,836352,0.0115291,3872,836352
1544,27.9012,9359740,2021703840,0.0115237,3872,836352,0.0115074,3872,836352
1552,28.0857,9421692,2035085472,0.0115479,3872,836352,0.0115253,3872,836352
1560,28.2699,9483644,2048467104,0.011533,3872,836352,0.011503,3872,836352
1568,28.4541,9545596,2061848736,0.0115582,3872,836352,0.0115339,3872,836352
1576,28.6387,9607548,2075230368,0.0115539,3872,836352,0.0115274,3872,836352
1584,28.8231,9669500,2088612000,0.0115381,3872,836352,0.0115116,3872,836352
1592,29.0073,9731452,2101993632,0.0115578,3872,836352,0.0115243,3872,836352
1600,29.1918,9793404,2115375264,0.0115487,3872,836352,0.011519,3872,836352
1608,29.3762,9855356,2128756896,0.0115606,3872,836352,0.0115238,3872,836352
1616,29.5603,9917308,2142138528,0.0115295,3872,836352,0.0115184,3872,836352
1624,29.7445,9979260,2155520160,0.0115239,3872,836352,0.0115071,3872,836352
1632,29.929,10041212,2168901792,0.0115297,3872,836352,0.0115195,3872,836352
1640,30.1132,10103164,2182283424,0.0115303,3872,836352,0.0115136,3872,836352
1648,30.2974,10165116,2195665056,0.0115318,3872,836352,0.011503,3872,836352
1656,30.4814,10227068,2209046688,0.0115264,3872,836352,0.0115015,3872,836352
1664,30.6654,10289020,2222428320,0.0115477,3872,836352,0.0115153,3872,836352
1672,30.8495,10350972,2235809952,0.0115144,3872,836352,0.0115127,3872,836352
1680,31.0339,10412924,2249191584,0.0115313,3872,836352,0.0115094,3872,836352
1688,31.2183,10474876,2262573216,0.0115416,3872,836352,0.0115197,3872,836352
1696,31.4026,10536828,2275954848,0.0115419,3872,836352,0.0115346,3872,836352
1704,31.5871,10598780,2289336480,0.011554,3872,836352,0.0115316,3872,836352
1712,31.7715,10660732,2302718112,0.0115454,3872,836352,0.0115116,3872,836352
1720,31.9559,10722684,2316099744,0.0115354,3872,836352,0.0115198,3872,836352
1728,32.1403,10784636,2329481376,0.0115199,3872,836352,0.0115217,3872,836352
1736,32.3248,10846588,2342863008,0.0115341,3872,836352,0.0115159,3872,836352
1744,32.5091,10908540,2356244640,0.0115307,3872,836352,0.011523,3872,836352
1752,32.6933,10970492,2369626272,0.011549,3872,836352,0.0115285,3872,836352
1760,32.878,11032444,2383007904,0.0115723,3872,836352,0.0115443,3872,836352
1768,33.0625,11094396,2396389536,0.0115539,3872,836352,0.0115284,3872,836352
1776,33.2468,11156348,2409771168,0.0115635,3872,836352,0.0115305,3872,836352
1784,33.4312,11218300,2423152800,0.0115336,3872,836352,0.0115125,3872,836352
1792,33.6156,11280252,2436534432,0.0115611,3872,836352,0.011531,3872,836352
1800,33.8,11342204,2449916064,0.0115525,3872,836352,0.0115283,3872,836352
1808,33.9844,11404156,2463297696,0.0115425,3872,836352,0.0115362,3872,836352
1816,34.1689,11466108,2476679328,0.011578,3872,836352,0.0115446,3872,836352
1824,34.3534,11528060,2490060960,0.0115568,3872,836352,0.0115424,3872,836352
1832,34.538,11590012,2503442592,0.0115399,3872,836352,0.0115244,3872,836352
1840,34.7221,11651964,2516824224,0.0115411,3872,836352,0.0115373,3872,836352
1848,34.9066,11713916,2530205856,0.0115497,3872,836352,0.0115331,3872,836352
1856,35.0912,11775868,2543587488,0.0115326,3872,836352,0.0115262,3872,836352
1864,35.2754,11837820,2556969120,0.0115308,3872,836352,0.0115239,3872,836352
1872,35.4604,11899772,2570350752,0.0115638,3872,836352,0.0115414,3872,836352
1880,35.6447,11961724,2583732384,0.0115495,3872,836352,0.0115382,3872,836352
1888,35.8292,12023676,2597114016,0.0115483,3872,836352,0.011539,3872,836352
1896,36.0135,12085628,2610495648,0.0115428,3872,836352,0.0115335,3872,836352
1904,36.1979,12147580,2623877280,0.011546,3872,836352,0.0115353,3872,836352
1912,36.3824,12209532,2637258912,0.0115475,3872,836352,0.0115366,3872,836352
1920,36.5671,12271484,2650640544,0.0115405,3872,836352,0.0115394,3872,836352
1928,36.7516,12333436,2664022176,0.0115757,3872,836352,0.0115418,3872,836352
1936,36.9362,12395388,2677403808,0.0115626,3872,836352,0.0115498,3872,836352
1944,37.1209,12457340,2690785440,0.0115524,3872,836352,0.0115325,3872,836352
1952,37.3051,12519292,2704167072,0.0115508,3872,836352,0.0115195,3872,836352
1960,37.4895,12581244,2717548704,0.0115424,3872,836352,0.0115152,3872,836352
1968,37.6738,12643196,2730930336,0.0115316,3872,836352,0.0115243,3872,836352
1976,37.8581,12705148,2744311968,0.011545,3872,836352,0.0115167,3872,836352
1984,38.0426,12767100,2757693600,0.0115375,3872,836352,0.0115226,3872,836352
1992,38.227,12829052,2771075232,0.0115259,3872,836352,0.0115218,3872,836352
2000,38.4113,12891004,2784456864,0.0115517,3872,836352,0.011522,3872,836352
2008,38.5958,12952956,2797838496,0.0115555,3872,836352,0.0115339,3872,836352
2016,38.7802,13014908,2811220128,0.0115415,3872,836352,0.0115404,3872,836352
2024,38.9646,13076860,2824601760,0.0115335,3872,836352,0.0115341,3872,836352
2032,39.1491,13138812,2837983392,0.0115292,3872,836352,0.0115306,3872,836352
2040,39.3337,13200764,2851365024,0.0115365,3872,836352,0.0115223,3872,836352
2048,39.5182,13262716,2864746656,0.00629132,2112,456192,0.00628775,2112,456192
2056,39.734,13336444,2880671904,0.0136273,4608,995328,0.0136512,4608,995328
2064,39.9533,13410172,2896597152,0.0137148,4608,995328,0.0137034,4608,995328
2072,40.1729,13483900,2912522400,0.0137314,4608,995328,0.0137415,4608,995328
2080,40.3927,13557628,2928447648,0.0137378,4608,995328,0.0136988,4608,995328
2088,40.612,13631356,2944372896,0.0137451,4608,995328,0.0137289,4608,995328
2096,40.8319,13705084,2960298144,0.0137563,4608,995328,0.0137296,4608,995328
2104,41.0516,13778812,2976223392,0.0137324,4608,995328,0.0137024,4608,995328
2112,41.2713,13852540,2992148640,0.0137494,4608,995328,0.0137123,4608,995328
2120,41.4907,13926268,3008073888,0.0137364,4608,995328,0.0137266,4608,995328
2128,41.7107,13999996,3023999136,0.0137654,4608,995328,0.0137458,4608,995328
