n,rar,rar_accesses,rar_bytes
16727424,0.000322646,234,35568
16727296,0.000327107,234,35568
16727168,0.000326879,234,35568
16727040,0.000327257,234,35568
16726912,0.000336544,234,35568
16726784,0.000325755,234,35568
16726656,0.000328367,234,35568
16726528,0.000328007,234,35568
16726400,0.000337488,234,35568
16726272,0.000326327,234,35568
16726144,0.000328398,234,35568
16726016,0.0003273,234,35568
16725888,0.000326605,234,35568
16725760,0.000326537,234,35568
16725632,0.000326571,234,35568
16725504,0.000326815,234,35568
16725376,0.000338521,234,35568
16725248,0.000328726,234,35568
16725120,0.000327851,234,35568
16724992,0.000326053,234,35568
16724864,0.000325411,234,35568
16724736,0.000325776,234,35568
16724608,0.00032802,234,35568
16724480,0.000327472,234,35568
16724352,0.000327781,234,35568
16724224,0.000329192,234,35568
16724096,0.000327381,234,35568
16723968,0.00033778,234,35568
16723840,0.00032719,234,35568
16723712,0.000326672,234,35568
16723584,0.000327569,234,35568
16723456,0.000339996,234,35568
16723328,0.000328143,234,35568
16723200,0.000327947,234,35568
16723072,0.00033014,234,35568
16722944,0.000332202,234,35568
16722816,0.000326224,234,35568
16722688,0.000328064,234,35568
16722560,0.000327635,234,35568
16722432,0.000327769,234,35568
16722304,0.000338229,234,35568
16722176,0.000328163,234,35568
16722048,0.000327445,234,35568
16721920,0.000328769,234,35568
16721792,0.000328825,234,35568
16721664,0.000337021,234,35568
16721536,0.000326601,234,35568
16721408,0.000378442,234,35568
16721280,0.000327302,234,35568
16721152,0.000335326,234,35568
16721024,0.000326276,234,35568
16720896,0.00032783,234,35568
16720768,0.000331042,234,35568
16720640,0.000325807,234,35568
16720512,0.000337802,234,35568
16720384,0.000329829,234,35568
16720256,0.000339876,234,35568
16720128,0.000328829,234,35568
16720000,0.0003282,234,35568
16719872,0.000329324,234,35568
16719744,0.000328021,234,35568
16719616,0.00034163,234,35568
16719488,0.000329057,234,35568
16719360,0.000336633,234,35568
16719232,0.000331228,234,35568
16719104,0.000328089,234,35568
16718976,0.000329377,234,35568
16718848,0.000328047,234,35568
16718720,0.000327987,234,35568
16718592,0.000327784,234,35568
16718464,0.000338222,234,35568
16718336,0.000326843,234,35568
16718208,0.000329716,234,35568
16718080,0.000328236,234,35568
16717952,0.000327033,234,35568
16717824,0.000339448,234,35568
16717696,0.000328207,234,35568
16717568,0.00032831,234,35568
16717440,0.00033073,234,35568
16717312,0.000328171,234,35568
16717184,0.00032775,234,35568
16717056,0.000328761,234,35568
16716928,0.000328403,234,35568
16716800,0.000327951,234,35568
16716672,0.000328889,234,35568
16716544,0.000335725,234,35568
16716416,0.000328237,234,35568
16716288,0.000328382,234,35568
16716160,0.000328554,234,35568
16716032,0.000328967,234,35568
16715904,0.000342816,234,35568
16715776,0.000327479,234,35568
16715648,0.000338018,234,35568
16715520,0.00032709,234,35568
16715392,0.000328868,234,35568
16715264,0.000327104,234,35568
16715136,0.000328023,234,35568
16715008,0.000328138,234,35568
16714880,0.000327737,234,35568
16714752,0.000334828,234,35568
16714624,0.000327477,234,35568
16714496,0.000327765,234,35568
16714368,0.00032731,234,35568
16714240,0.000330494,234,35568
16714112,0.000327971,234,35568
16713984,0.00032831,234,35568
16713856,0.000328714,234,35568
16713728,0.000327742,234,35568
16713600,0.000340684,234,35568
16713472,0.000327284,234,35568
16713344,0.000339126,234,35568
16713216,0.000327134,234,35568
16713088,0.000327252,234,35568
16712960,0.000329145,234,35568
16712832,0.000329187,234,35568
16712704,0.000327423,234,35568
16712576,0.000327792,234,35568
16712448,0.000327906,234,35568
16712320,0.000327079,234,35568
16712192,0.00033934,234,35568
16712064,0.000327865,234,35568
16711936,0.000330019,234,35568
16711808,0.000327421,234,35568
16711680,0.000403532,234,35568
16711552,0.000328236,234,35568
16711424,0.000328733,234,35568
16711296,0.000337003,234,35568
16711168,0.000328594,234,35568
16711040,0.000327988,234,35568
16710912,0.00032846,234,35568
16710784,0.000329499,234,35568
16710656,0.000340302,234,35568
16710528,0.000329329,234,35568
16710400,0.000339447,234,35568
16710272,0.000329598,234,35568
16710144,0.00032802,234,35568
16710016,0.000327966,234,35568
16709888,0.000327133,234,35568
16709760,0.000329028,234,35568
16709632,0.000328853,234,35568
16709504,0.000337216,234,35568
16709376,0.000326108,234,35568
16709248,0.000339498,234,35568
16709120,0.000328179,234,35568
16708992,0.00033817,234,35568
16708864,0.000329359,234,35568
16708736,0.000327682,234,35568
16708608,0.000329202,234,35568
16708480,0.000329617,234,35568
16708352,0.000328193,234,35568
16708224,0.00032912,234,35568
16708096,0.000330067,234,35568
16707968,0.000329515,234,35568
16707840,0.000338648,234,35568
16707712,0.000327708,234,35568
16707584,0.000327771,234,35568
16707456,0.000328554,234,35568
16707328,0.00032565,234,35568
16707200,0.000327062,234,35568
16707072,0.000326611,234,35568
16706944,0.000328385,234,35568
16706816,0.000327767,234,35568
16706688,0.000335963,234,35568
16706560,0.000327328,234,35568
16706432,0.000327566,234,35568
16706304,0.000328028,234,35568
16706176,0.000335389,234,35568
16706048,0.00032468,234,35568
16705920,0.000328823,234,35568
16705792,0.000327679,234,35568
16705664,0.000328314,234,35568
16705536,0.000328189,234,35568
16705408,0.000328301,234,35568
16705280,0.00033068,234,35568
16705152,0.000329782,234,35568
16705024,0.0003365,234,35568
16704896,0.000328718,234,35568
16704768,0.000330139,234,35568
16704640,0.000326888,234,35568
16704512,0.00032769,234,35568
16704384,0.000344003,234,35568
16704256,0.00032886,234,35568
16704128,0.000337956,234,35568
16704000,0.000326856,234,35568
16703872,0.000326535,234,35568
16703744,0.000328944,234,35568
16703616,0.000327534,234,35568
16703488,0.000327888,234,35568
16703360,0.000327821,234,35568
16703232,0.000337677,234,35568
16703104,0.000328673,234,35568
16702976,0.000328201,234,35568
16702848,0.000330256,234,35568
16702720,0.00033878,234,35568
16702592,0.000329547,234,35568
16702464,0.000327797,234,35568
16702336,0.000339407,234,35568
16702208,0.000330304,234,35568
16702080,0.000338857,234,35568
16701952,0.000330024,234,35568
16701824,0.000328547,234,35568
16701696,0.00032801,234,35568
16701568,0.000329245,234,35568
16701440,0.000339632,234,35568
16701312,0.000327659,234,35568
16701184,0.000337386,234,35568
16701056,0.000326934,234,35568
16700928,0.000328458,234,35568
16700800,0.000325946,234,35568
16700672,0.000327323,234,35568
16700544,0.000327723,234,35568
16700416,0.000327375,234,35568
16700288,0.000339073,234,35568
16700160,0.000331281,234,35568
16700032,0.000328359,234,35568
16699904,0.000328649,234,35568
16699776,0.000330311,234,35568
16699648,0.00034131,234,35568
16699520,0.000331879,234,35568
16699392,0.000334086,234,35568
16699264,0.000327606,234,35568
16699136,0.000328372,234,35568
16699008,0.000329678,234,35568
16698880,0.00032787,234,35568
16698752,0.000339237,234,35568
16698624,0.000328684,234,35568
16698496,0.000327521,234,35568
16698368,0.000465326,234,35568
16698240,0.000329837,234,35568
16698112,0.000339172,234,35568
16697984,0.000327177,234,35568
16697856,0.000327905,234,35568
16697728,0.000327832,234,35568
16697600,0.000327553,234,35568
16697472,0.000329196,234,35568
16697344,0.000328179,234,35568
16697216,0.000329979,234,35568
16697088,0.000330314,234,35568
16696960,0.000329591,234,35568
16696832,0.00034202,234,35568
16696704,0.000329828,234,35568
16696576,0.000329622,234,35568
16696448,0.000327956,234,35568
16696320,0.000326826,234,35568
16696192,0.0003391,234,35568
16696064,0.000328215,234,35568
16695936,0.000329097,234,35568
16695808,0.000327911,234,35568
16695680,0.000330101,234,35568
16695552,0.000339453,234,35568
16695424,0.000329451,234,35568
16695296,0.000337715,234,35568
16695168,0.000328708,234,35568
16695040,0.000328518,234,35568
16694912,0.00033012,234,35568
16694784,0.000329342,234,35568
16694656,0.000330176,234,35568
16694528,0.000329509,234,35568
16694400,0.000333469,234,35568
16694272,0.000328216,234,35568
16694144,0.000329975,234,35568
16694016,0.000327975,234,35568
16693888,0.00032885,234,35568
16693760,0.000339126,234,35568
16693632,0.000328532,234,35568
16693504,0.000335078,234,35568
16693376,0.000329316,234,35568
16693248,0.000328893,234,35568
16693120,0.000327863,234,35568
16692992,0.000327023,234,35568
16692864,0.000330114,234,35568
16692736,0.00032837,234,35568
16692608,0.000326523,234,35568
16692480,0.000329451,234,35568
16692352,0.000329263,234,35568
16692224,0.000343771,234,35568
16692096,0.000327491,234,35568
16691968,0.000332434,234,35568
16691840,0.000332634,234,35568
16691712,0.000332862,234,35568
16691584,0.000329014,234,35568
16691456,0.000329093,234,35568
16691328,0.000327723,234,35568
16691200,0.000340938,234,35568
16691072,0.000327133,234,35568
16690944,0.000337111,234,35568
16690816,0.000327521,234,35568
16690688,0.000327545,234,35568
16690560,0.000327109,234,35568
16690432,0.000327018,234,35568
16690304,0.000327613,234,35568
16690176,0.000327124,234,35568
16690048,0.000326505,234,35568
16689920,0.000330485,234,35568
16689792,0.000328823,234,35568
16689664,0.000329133,234,35568
16689536,0.000328987,234,35568
16689408,0.00033834,234,35568
16689280,0.000328955,234,35568
16689152,0.000339962,234,35568
16689024,0.000326564,234,35568
16688896,0.000327873,234,35568
16688768,0.000327786,234,35568
16688640,0.000326938,234,35568
16688512,0.000329388,234,35568
16688384,0.000327256,234,35568
16688256,0.000335886,234,35568
16688128,0.000327304,234,35568
16688000,0.000328586,234,35568
16687872,0.000326467,234,35568
