n,fill,fill_accesses,fill_bytes
3512,0.50762,359432,54633664
3520,0.508937,360344,54772288
3528,0.510194,361256,54910912
3536,0.511444,362168,55049536
3544,0.512705,363080,55188160
3552,0.513957,363992,55326784
3560,0.515209,364904,55465408
3568,0.516469,365816,55604032
3576,0.517722,366728,55742656
3584,0.518982,367640,55881280
3592,0.520243,368552,56019904
3600,0.52151,369464,56158528
3608,0.522815,370376,56297152
3616,0.52412,371288,56435776
3624,0.525415,372200,56574400
3632,0.526721,373112,56713024
3640,0.528028,374024,56851648
3648,0.529323,374936,56990272
3656,0.530567,375848,57128896
3664,0.531814,376760,57267520
3672,0.533076,377672,57406144
3680,0.534325,378584,57544768
3688,0.535573,379496,57683392
3696,0.536833,380408,57822016
3704,0.538082,381320,57960640
3712,0.539339,382232,58099264
3720,0.540598,383144,58237888
3728,0.541845,384056,58376512
3736,0.543094,384968,58515136
3744,0.544353,385880,58653760
3752,0.545601,386792,58792384
3760,0.54685,387704,58931008
3768,0.548092,388616,59069632
3776,0.549361,389528,59208256
3784,0.550612,390440,59346880
3792,0.551858,391352,59485504
3800,0.553116,392264,59624128
3808,0.554365,393176,59762752
3816,0.555613,394088,59901376
3824,0.556867,395000,60040000
3832,0.558112,395912,60178624
3840,0.559369,396824,60317248
3848,0.560637,397736,60455872
3856,0.561943,398648,60594496
3864,0.563249,399560,60733120
3872,0.564566,400472,60871744
3880,0.565875,401384,61010368
3888,0.567181,402296,61148992
3896,0.568499,403208,61287616
3904,0.569767,404120,61426240
3912,0.571014,405032,61564864
3920,0.572262,405944,61703488
3928,0.57352,406856,61842112
3936,0.574772,407768,61980736
3944,0.576018,408680,62119360
3952,0.577277,409592,62257984
3960,0.578524,410504,62396608
3968,0.579782,411416,62535232
3976,0.58104,412328,62673856
3984,0.582289,413240,62812480
3992,0.583536,414152,62951104
4000,0.584796,415064,63089728
4008,0.586042,415976,63228352
4016,0.58729,416888,63366976
4024,0.58855,417800,63505600
4032,0.589805,418712,63644224
4040,0.59105,419624,63782848
4048,0.592298,420536,63921472
4056,0.593561,421448,64060096
4064,0.59481,422360,64198720
4072,0.596056,423272,64337344
4080,0.597312,424184,64475968
4088,0.598562,425096,64614592
4096,0.599818,426008,64753216
4104,0.601538,427000,64904000
4112,0.60284,427992,65054784
4120,0.604146,428984,65205568
4128,0.605468,429976,65356352
4136,0.60678,430968,65507136
4144,0.608094,431960,65657920
4152,0.609425,432952,65808704
4160,0.610751,433944,65959488
4168,0.612077,434936,66110272
4176,0.613409,435928,66261056
4184,0.614729,436920,66411840
4192,0.616053,437912,66562624
4200,0.617385,438904,66713408
4208,0.618732,439896,66864192
4216,0.620058,440888,67014976
4224,0.621397,441880,67165760
4232,0.622723,442872,67316544
4240,0.624052,443864,67467328
4248,0.625391,444856,67618112
4256,0.626722,445848,67768896
4264,0.62805,446840,67919680
4272,0.629409,447832,68070464
4280,0.630746,448824,68221248
4288,0.632147,449816,68372032
4296,0.633552,450808,68522816
4304,0.634948,451800,68673600
4312,0.636298,452792,68824384
4320,0.637663,453784,68975168
4328,0.639052,454776,69125952
4336,0.640398,455768,69276736
4344,0.641734,456760,69427520
4352,0.643073,457752,69578304
4360,0.644422,458744,69729088
4368,0.645759,459736,69879872
4376,0.647095,460728,70030656
4384,0.64844,461720,70181440
4392,0.649791,462712,70332224
4400,0.651136,463704,70483008
4408,0.652488,464696,70633792
4416,0.653894,465688,70784576
4424,0.655303,466680,70935360
4432,0.656714,467672,71086144
4440,0.658075,468664,71236928
4448,0.659453,469656,71387712
4456,0.660806,470648,71538496
4464,0.662142,471640,71689280
4472,0.663497,472632,71840064
4480,0.664842,473624,71990848
4488,0.666179,474616,72141632
4496,0.667524,475608,72292416
4504,0.668888,476600,72443200
4512,0.670228,477592,72593984
4520,0.671572,478584,72744768
4528,0.672929,479576,72895552
4536,0.674263,480568,73046336
4544,0.675609,481560,73197120
4552,0.676963,482552,73347904
4560,0.6783,483544,73498688
4568,0.679648,484536,73649472
4576,0.681005,485528,73800256
4584,0.682356,486520,73951040
4592,0.683702,487512,74101824
4600,0.685062,488504,74252608
4608,0.686409,489496,74403392
4616,0.68776,490488,74554176
4624,0.689162,491480,74704960
4632,0.690507,492472,74855744
4640,0.691911,493464,75006528
4648,0.693326,494456,75157312
4656,0.694713,495448,75308096
4664,0.696124,496440,75458880
4672,0.697496,497432,75609664
4680,0.698908,498424,75760448
4688,0.700256,499416,75911232
4696,0.701638,500408,76062016
4704,0.702986,501400,76212800
4712,0.704405,502392,76363584
4720,0.7058,503384,76514368
4728,0.707178,504376,76665152
4736,0.708566,505368,76815936
4744,0.709928,506360,76966720
4752,0.711274,507352,77117504
4760,0.712628,508344,77268288
4768,0.713974,509336,77419072
4776,0.715316,510328,77569856
4784,0.716682,511320,77720640
4792,0.718034,512312,77871424
4800,0.719392,513304,78022208
4808,0.720749,514296,78172992
4816,0.722107,515288,78323776
4824,0.723461,516280,78474560
4832,0.724834,517272,78625344
4840,0.726189,518264,78776128
4848,0.7276,519256,78926912
4856,0.729001,520248,79077696
4864,0.730354,521240,79228480
4872,0.731724,522232,79379264
4880,0.733114,523224,79530048
4888,0.734487,524216,79680832
4896,0.735898,525208,79831616
4904,0.737257,526200,79982400
4912,0.738668,527192,80133184
4920,0.740025,528184,80283968
4928,0.74138,529176,80434752
4936,0.742728,530168,80585536
4944,0.744143,531160,80736320
4952,0.745563,532152,80887104
4960,0.746975,533144,81037888
4968,0.748398,534136,81188672
4976,0.749772,535128,81339456
4984,0.751117,536120,81490240
4992,0.752476,537112,81641024
5000,0.75382,538104,81791808
5008,0.755169,539096,81942592
5016,0.756528,540088,82093376
5024,0.757882,541080,82244160
5032,0.759237,542072,82394944
5040,0.760605,543064,82545728
5048,0.761953,544056,82696512
5056,0.763307,545048,82847296
5064,0.76467,546040,82998080
5072,0.76602,547032,83148864
5080,0.76737,548024,83299648
5088,0.768743,549016,83450432
5096,0.770093,550008,83601216
5104,0.771509,551000,83752000
5112,0.772917,551992,83902784
5120,0.77427,552984,84053568
5128,0.775672,553976,84204352
5136,0.777034,554968,84355136
5144,0.778434,555960,84505920
5152,0.779806,556952,84656704
5160,0.781168,557944,84807488
5168,0.782521,558936,84958272
5176,0.783871,559928,85109056
5184,0.785227,560920,85259840
5192,0.786579,561912,85410624
5200,0.787929,562904,85561408
5208,0.789299,563896,85712192
5216,0.790652,564888,85862976
5224,0.792009,565880,86013760
5232,0.793386,566872,86164544
5240,0.794747,567864,86315328
5248,0.796165,568856,86466112
5256,0.797593,569848,86616896
5264,0.798997,570840,86767680
5272,0.800363,571832,86918464
5280,0.801778,572824,87069248
5288,0.803192,573816,87220032
5296,0.804617,574808,87370816
5304,0.806035,575800,87521600
5312,0.807452,576792,87672384
5320,0.808877,577784,87823168
5328,0.810229,578776,87973952
5336,0.811583,579768,88124736
5344,0.812944,580760,88275520
5352,0.814299,581752,88426304
5360,0.815646,582744,88577088
5368,0.817003,583736,88727872
5376,0.818356,584728,88878656
5384,0.819719,585720,89029440
5392,0.821088,586712,89180224
5400,0.822507,587704,89331008
5408,0.823926,588696,89481792
5416,0.825351,589688,89632576
5424,0.826731,590680,89783360
5432,0.828113,591672,89934144
5440,0.829514,592664,90084928
5448,0.830868,593656,90235712
5456,0.832228,594648,90386496
5464,0.833593,595640,90537280
5472,0.834947,596632,90688064
5480,0.836302,597624,90838848
5488,0.837665,598616,90989632
5496,0.839031,599608,91140416
5504,0.840395,600600,91291200
5512,0.841748,601592,91441984
5520,0.843097,602584,91592768
5528,0.844463,603576,91743552
5536,0.845819,604568,91894336
5544,0.847172,605560,92045120
5552,0.848534,606552,92195904
5560,0.849897,607544,92346688
5568,0.851256,608536,92497472
5576,0.85262,609528,92648256
5584,0.85398,610520,92799040
5592,0.85534,611512,92949824
5600,0.856711,612504,93100608
5608,0.858101,613496,93251392
5616,0.859467,614488,93402176
5624,0.860874,615480,93552960
5632,0.862232,616472,93703744
5640,0.86359,617464,93854528
5648,0.86496,618456,94005312
5656,0.86632,619448,94156096
5664,0.867671,620440,94306880
5672,0.869042,621432,94457664
5680,0.870397,622424,94608448
5688,0.871751,623416,94759232
5696,0.873114,624408,94910016
5704,0.874467,625400,95060800
5712,0.875827,626392,95211584
5720,0.877194,627384,95362368
5728,0.878552,628376,95513152
5736,0.879916,629368,95663936
5744,0.881279,630360,95814720
5752,0.882698,631352,95965504
5760,0.884069,632344,96116288
5768,0.8855,633336,96267072
5776,0.886918,634328,96417856
5784,0.888349,635320,96568640
5792,0.889727,636312,96719424
5800,0.891083,637304,96870208
5808,0.892446,638296,97020992
5816,0.8938,639288,97171776
5824,0.895156,640280,97322560
5832,0.896528,641272,97473344
5840,0.897885,642264,97624128
5848,0.899252,643256,97774912
5856,0.900615,644248,97925696
5864,0.901977,645240,98076480
5872,0.903333,646232,98227264
5880,0.9047,647224,98378048
5888,0.906061,648216,98528832
5896,0.907413,649208,98679616
5904,0.908794,650200,98830400
5912,0.910154,651192,98981184
5920,0.911572,652184,99131968
5928,0.912968,653176,99282752
5936,0.914382,654168,99433536
5944,0.915758,655160,99584320
5952,0.917186,656152,99735104
5960,0.918608,657144,99885888
5968,0.919976,658136,100036672
