n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1184,0.0743715,52910,8042320,8.79257e-05,64,9728
1192,0.0750794,53422,8120144,8.80213e-05,64,9728
1200,0.075793,53934,8197968,8.78293e-05,64,9728
1208,0.0765011,54446,8275792,8.95594e-05,64,9728
1216,0.0772113,54958,8353616,8.80265e-05,64,9728
1224,0.0779333,55470,8431440,8.79918e-05,64,9728
1232,0.0786504,55982,8509264,8.77016e-05,64,9728
1240,0.0793591,56494,8587088,8.76848e-05,64,9728
1248,0.0800676,57006,8664912,8.88531e-05,64,9728
1256,0.0807742,57518,8742736,8.78552e-05,64,9728
1264,0.08149,58030,8820560,8.75162e-05,64,9728
1272,0.0821968,58542,8898384,8.87614e-05,64,9728
1280,0.0829071,59054,8976208,8.77586e-05,64,9728
1288,0.0836303,59566,9054032,8.84393e-05,64,9728
1296,0.0843475,60078,9131856,8.76806e-05,64,9728
1304,0.0850568,60590,9209680,8.79699e-05,64,9728
1312,0.0857654,61102,9287504,8.93104e-05,64,9728
1320,0.0860098,61278,9314256,2.96035e-05,22,3344
1328,0.0862565,61454,9341008,2.96415e-05,22,3344
1336,0.0865028,61630,9367760,2.94945e-05,22,3344
1344,0.0867599,61806,9394512,3.06352e-05,22,3344
1352,0.0870049,61982,9421264,2.94379e-05,22,3344
1360,0.0872512,62158,9448016,2.95975e-05,22,3344
1368,0.0874971,62334,9474768,2.957e-05,22,3344
1376,0.0877412,62510,9501520,2.95095e-05,22,3344
1384,0.0879885,62686,9528272,2.95762e-05,22,3344
1392,0.0882357,62862,9555024,2.9672e-05,22,3344
1400,0.088482,63038,9581776,2.96266e-05,22,3344
1408,0.0887279,63214,9608528,2.95931e-05,22,3344
1416,0.0889746,63390,9635280,3.05604e-05,22,3344
1424,0.0892215,63566,9662032,2.96645e-05,22,3344
1432,0.0894675,63742,9688784,2.96529e-05,22,3344
1440,0.0897218,63918,9715536,2.95643e-05,22,3344
1448,0.0899688,64094,9742288,2.96859e-05,22,3344
1456,0.0902227,64270,9769040,2.95539e-05,22,3344
1464,0.0904698,64446,9795792,2.9598e-05,22,3344
1472,0.0907156,64622,9822544,2.96108e-05,22,3344
1480,0.0909621,64798,9849296,2.96028e-05,22,3344
1488,0.0912089,64974,9876048,2.96651e-05,22,3344
1496,0.0914556,65150,9902800,2.96214e-05,22,3344
1504,0.0917013,65326,9929552,2.97723e-05,22,3344
1512,0.0919471,65502,9956304,2.97283e-05,22,3344
1520,0.0921938,65678,9983056,2.95413e-05,22,3344
1528,0.0924411,65854,10009808,3.07218e-05,22,3344
1536,0.0926878,66030,10036560,2.94559e-05,22,3344
1544,0.0929335,66206,10063312,2.95942e-05,22,3344
1552,0.0931795,66382,10090064,2.96024e-05,22,3344
1560,0.0934263,66558,10116816,2.97647e-05,22,3344
1568,0.093683,66734,10143568,2.96061e-05,22,3344
1576,0.0939299,66910,10170320,2.95949e-05,22,3344
1584,0.0941762,67086,10197072,2.95643e-05,22,3344
1592,0.0944229,67262,10223824,2.95126e-05,22,3344
1600,0.0946668,67438,10250576,2.9515e-05,22,3344
1608,0.094913,67614,10277328,2.95596e-05,22,3344
1616,0.0951592,67790,10304080,2.96663e-05,22,3344
1624,0.0954064,67966,10330832,3.04647e-05,22,3344
1632,0.0956521,68142,10357584,2.9543e-05,22,3344
1640,0.0958969,68318,10384336,3.05542e-05,22,3344
1648,0.0961428,68494,10411088,2.96422e-05,22,3344
1656,0.0963899,68670,10437840,2.96598e-05,22,3344
1664,0.0966364,68846,10464592,2.95651e-05,22,3344
1672,0.0968827,69022,10491344,2.95939e-05,22,3344
1680,0.0971399,69198,10518096,2.95635e-05,22,3344
1688,0.0973851,69374,10544848,2.95453e-05,22,3344
1696,0.0976304,69550,10571600,2.95574e-05,22,3344
1704,0.097877,69726,10598352,2.95953e-05,22,3344
1712,0.098123,69902,10625104,2.96605e-05,22,3344
1720,0.0983787,70078,10651856,2.96758e-05,22,3344
1728,0.0986253,70254,10678608,2.95385e-05,22,3344
1736,0.0988725,70430,10705360,2.95349e-05,22,3344
1744,0.0991193,70606,10732112,2.95319e-05,22,3344
1752,0.0993656,70782,10758864,3.05695e-05,22,3344
1760,0.0996126,70958,10785616,2.96928e-05,22,3344
1768,0.0998588,71134,10812368,2.95132e-05,22,3344
1776,0.100105,71310,10839120,2.9588e-05,22,3344
1784,0.100352,71486,10865872,2.95838e-05,22,3344
1792,0.100609,71662,10892624,2.95438e-05,22,3344
1800,0.100856,71838,10919376,2.95354e-05,22,3344
1808,0.101102,72014,10946128,2.95656e-05,22,3344
1816,0.101349,72190,10972880,2.96592e-05,22,3344
1824,0.101595,72366,10999632,2.96015e-05,22,3344
1832,0.101841,72542,11026384,2.96573e-05,22,3344
1840,0.102088,72718,11053136,2.95444e-05,22,3344
1848,0.102335,72894,11079888,2.96349e-05,22,3344
1856,0.102581,73070,11106640,2.95854e-05,22,3344
1864,0.102828,73246,11133392,3.08224e-05,22,3344
1872,0.103075,73422,11160144,2.9574e-05,22,3344
1880,0.103322,73598,11186896,2.96049e-05,22,3344
1888,0.103568,73774,11213648,2.96191e-05,22,3344
1896,0.103815,73950,11240400,2.94627e-05,22,3344
1904,0.104071,74126,11267152,2.96476e-05,22,3344
1912,0.104317,74302,11293904,2.96596e-05,22,3344
1920,0.104564,74478,11320656,2.95691e-05,22,3344
1928,0.104809,74654,11347408,2.94391e-05,22,3344
1936,0.105056,74830,11374160,2.95939e-05,22,3344
1944,0.105303,75006,11400912,2.95484e-05,22,3344
1952,0.10555,75182,11427664,2.9545e-05,22,3344
1960,0.105796,75358,11454416,2.97071e-05,22,3344
1968,0.106043,75534,11481168,2.96665e-05,22,3344
1976,0.10629,75710,11507920,3.07186e-05,22,3344
1984,0.106536,75886,11534672,2.9512e-05,22,3344
1992,0.106783,76062,11561424,2.95842e-05,22,3344
2000,0.107031,76238,11588176,3.04831e-05,22,3344
2008,0.107276,76414,11614928,2.95337e-05,22,3344
2016,0.107532,76590,11641680,2.96636e-05,22,3344
2024,0.107779,76766,11668432,2.97441e-05,22,3344
2032,0.108026,76942,11695184,2.95298e-05,22,3344
2040,0.108273,77118,11721936,2.97649e-05,22,3344
2048,0.108755,77294,11748688,0.000178745,134,20368
2056,0.110215,78366,11911632,0.000180044,134,20368
2064,0.111647,79438,12074576,0.000181287,134,20368
2072,0.113102,80510,12237520,0.000183574,134,20368
2080,0.114554,81582,12400464,0.000183686,134,20368
2088,0.116024,82654,12563408,0.000183603,134,20368
2096,0.117482,83726,12726352,0.000183651,134,20368
2104,0.118961,84798,12889296,0.000184939,134,20368
2112,0.120437,85870,13052240,0.000184758,134,20368
2120,0.121916,86942,13215184,0.000183767,134,20368
2128,0.123386,88014,13378128,0.000185264,134,20368
2136,0.124876,89086,13541072,0.000184548,134,20368
2144,0.126363,90158,13704016,0.000184113,134,20368
2152,0.12784,91230,13866960,0.00018553,134,20368
2160,0.12932,92302,14029904,0.000186156,134,20368
