test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
domap,131,10,7.85e-07,0,0,0,0.00928984,736,2632960,0.00482613,368,1316480,0.00488381,368,1316480,0,0
domap,131,11,8.765e-07,0,0,0,0.0109311,800,3133440,0.00567855,400,1566720,0.00574628,400,1566720,0,0
domap,131,12,8.765e-07,0,0,0,0.0128462,872,3712800,0.00664367,436,1856400,0.00672867,436,1856400,0,0
domap,131,13,9.4e-07,0,0,0,0.0148627,944,4338400,0.00768974,472,2169200,0.00775991,472,2169200,0,0
domap,131,14,1.9425e-06,0,0,0,0.0170822,1008,4974880,0.00880558,504,2487440,0.00893211,504,2487440,0,0
domap,131,15,1.64075e-06,0,0,0,0.0210737,1080,5698400,0.0105133,540,2849200,0.0105497,540,2849200,0,0
domap,131,16,6.42425e-06,0,0,0,0.0258444,1152,6468160,0.0127923,576,3234080,0.0127123,576,3234080,0,0
domap,131,17,9.63975e-06,0,0,0,0.0299668,1216,7240640,0.0146501,608,3620320,0.0145666,608,3620320,0,0
domap,131,18,1.04075e-05,0,0,0,0.0335612,1288,8108320,0.0163648,644,4054160,0.0162872,644,4054160,0,0
domap,131,19,1.02023e-05,0,0,0,0.0377512,1360,9022240,0.0184537,680,4511120,0.0185485,680,4511120,0,0
domap,131,20,1.10713e-05,0,0,0,0.0422597,1424,9930720,0.0205163,712,4965360,0.0204742,712,4965360,0,0
domap,227,1,1.40575e-06,0,0,0,0.000312903,112,97888,0.000154008,56,48944,0.000156401,56,48944,0,0
domap,227,2,5.81e-07,0,0,0,0.000720592,176,242592,0.000363945,88,121296,0.000364026,88,121296,0,0
domap,227,3,6.8575e-07,0,0,0,0.00136625,248,472416,0.00068767,124,236208,0.000686242,124,236208,0,0
domap,227,4,6.18e-07,0,0,0,0.002199,320,774592,0.0011096,160,387296,0.00111434,160,387296,0,0
domap,227,5,7.09e-07,0,0,0,0.00316499,384,1132096,0.0016145,192,566048,0.00161427,192,566048,0,0
domap,227,6,8.7725e-07,0,0,0,0.00436977,456,1587488,0.00224549,228,793744,0.00224372,228,793744,0,0
domap,227,7,7.2675e-07,0,0,0,0.00573572,528,2115232,0.00295983,264,1057616,0.00297334,264,1057616,0,0
domap,227,8,9.5575e-07,0,0,0,0.00714813,592,2685536,0.00371124,296,1342768,0.00373114,296,1342768,0,0
domap,227,9,1.2905e-06,0,0,0,0.00882842,664,3366496,0.00458186,332,1683248,0.0046207,332,1683248,0,0
domap,227,10,1.23925e-06,0,0,0,0.0106631,736,4119808,0.00553142,368,2059904,0.00557779,368,2059904,0,0
domap,227,11,1.25425e-06,0,0,0,0.0125854,800,4902912,0.00651743,400,2451456,0.00685699,400,2451456,0,0
domap,227,12,1.54625e-06,0,0,0,0.0148044,872,5809440,0.00763264,436,2904720,0.0077358,436,2904720,0,0
domap,227,13,1.67025e-06,0,0,0,0.0172144,944,6788320,0.00887522,472,3394160,0.00893566,472,3394160,0,0
domap,227,14,1.59325e-06,0,0,0,0.0211427,1008,7784224,0.0105701,504,3892112,0.0105744,504,3892112,0,0
