test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
pstack,152,1,5.25e-08,0,0,0,2.052e-06,1,176,2.55e-08,1,176,7.4225e-07,1,176,0,255
pstack,152,2,5.375e-08,0,0,0,1.47075e-06,1,176,2.575e-08,1,176,6.0125e-07,1,176,0,255
pstack,152,3,3.525e-08,0,0,0,1.525e-06,1,176,2.575e-08,1,176,6.15e-07,1,176,0,255
pstack,152,4,4.6e-08,0,0,0,1.48675e-06,1,176,2.6e-08,1,176,5.9725e-07,1,176,0,255
pstack,152,5,4.65e-08,0,0,0,1.483e-06,1,176,2.575e-08,1,176,6.11e-07,1,176,0,255
pstack,152,6,5.025e-08,0,0,0,1.5745e-06,1,176,2.6e-08,1,176,6.12e-07,1,176,0,255
pstack,152,7,5.075e-08,0,0,0,1.541e-06,1,176,2.575e-08,1,176,6.1375e-07,1,176,0,255
pstack,152,8,7.575e-08,0,0,0,1.57425e-06,1,176,2.6e-08,1,176,6.1775e-07,1,176,0,255
pstack,152,9,7.775e-08,0,0,0,1.57975e-06,1,176,2.55e-08,1,176,6.13e-07,1,176,0,255
pstack,152,10,9.15e-08,0,0,0,1.7895e-06,1,176,2.6e-08,1,176,6.1025e-07,1,176,0,255
pstack,152,11,1.2975e-07,0,0,0,2.34225e-06,1,176,2.55e-08,1,176,6.2975e-07,1,176,0,255
pstack,152,12,4.07e-07,0,0,0,4.05775e-06,1,176,2.525e-08,1,176,6.345e-07,1,176,0,255
pstack,152,13,9.4425e-07,0,0,0,6.36225e-06,1,176,2.575e-08,1,176,6.3525e-07,1,176,0,255
pstack,152,14,1.8985e-06,0,0,0,1.1161e-05,1,176,2.575e-08,1,176,6.3425e-07,1,176,0,255
pstack,152,15,3.8065e-06,0,0,0,2.06518e-05,1,176,2.55e-08,1,176,6.4525e-07,1,176,0,255
pstack,152,16,8.01525e-06,0,0,0,4.05308e-05,1,176,2.55e-08,1,176,7.06e-07,1,176,0,255
pstack,152,17,2.7946e-05,0,0,0,8.86313e-05,1,176,2.575e-08,1,176,1.145e-06,1,176,0,255
pstack,152,18,6.43255e-05,0,0,0,0.000187277,1,176,2.575e-08,1,176,1.35025e-06,1,176,0,255
pstack,152,19,0.000129529,0,0,0,0.000353186,1,176,2.525e-08,1,176,1.374e-06,1,176,0,255
pstack,152,20,0.00026155,0,0,0,0.000936586,1,176,2.575e-08,1,176,1.8255e-06,1,176,0,255
pstack,248,1,5.15e-08,0,0,0,2.99725e-06,1,272,2.525e-08,1,272,1.15925e-06,1,272,0,255
pstack,248,2,4.925e-08,0,0,0,2.746e-06,1,272,2.575e-08,1,272,9.85e-07,1,272,0,255
pstack,248,3,4.925e-08,0,0,0,2.61225e-06,1,272,2.55e-08,1,272,1.01725e-06,1,272,0,255
pstack,248,4,5.175e-08,0,0,0,2.7125e-06,1,272,2.6e-08,1,272,9.5025e-07,1,272,0,255
pstack,248,5,5.275e-08,0,0,0,2.711e-06,1,272,2.6e-08,1,272,9.26e-07,1,272,0,255
pstack,248,6,5.4e-08,0,0,0,2.8465e-06,1,272,2.575e-08,1,272,1.036e-06,1,272,0,255
pstack,248,7,4.675e-08,0,0,0,1.84325e-06,1,272,2.625e-08,1,272,6.005e-07,1,272,0,255
pstack,248,8,6.75e-08,0,0,0,1.59475e-06,1,272,2.55e-08,1,272,5.99e-07,1,272,0,255
pstack,248,9,7.95e-08,0,0,0,1.663e-06,1,272,2.55e-08,1,272,5.9275e-07,1,272,0,255
pstack,248,10,9e-08,0,0,0,1.819e-06,1,272,2.575e-08,1,272,6.14e-07,1,272,0,255
pstack,248,11,1.37e-07,0,0,0,2.414e-06,1,272,2.575e-08,1,272,6.11e-07,1,272,0,255
pstack,248,12,4.1525e-07,0,0,0,4.0795e-06,1,272,2.575e-08,1,272,6.23e-07,1,272,0,255
pstack,248,13,9.3325e-07,0,0,0,6.44425e-06,1,272,2.55e-08,1,272,6.3525e-07,1,272,0,255
pstack,248,14,1.88925e-06,0,0,0,1.119e-05,1,272,2.575e-08,1,272,6.335e-07,1,272,0,255
pstack,248,15,3.8115e-06,0,0,0,2.06833e-05,1,272,2.55e-08,1,272,6.25e-07,1,272,0,255
pstack,248,16,8.01225e-06,0,0,0,4.13315e-05,1,272,2.55e-08,1,272,7.03e-07,1,272,0,255
pstack,248,17,2.79358e-05,0,0,0,8.86745e-05,1,272,2.525e-08,1,272,1.0895e-06,1,272,0,255
pstack,248,18,6.68275e-05,0,0,0,0.000181043,1,272,2.6e-08,1,272,1.12375e-06,1,272,0,255
pstack,248,19,0.000129628,0,0,0,0.000368646,1,272,2.55e-08,1,272,1.311e-06,1,272,0,255
pstack,248,20,0.000259978,0,0,0,0.0010117,1,272,2.55e-08,1,272,2.06575e-06,1,272,0,255
pstack,4088,1,5e-08,0,0,0,8.1815e-06,1,4112,2.55e-08,1,4112,1.9045e-06,1,4112,0,255
pstack,4088,2,4.675e-08,0,0,0,7.82625e-06,1,4112,2.575e-08,1,4112,1.36975e-06,1,4112,0,255
pstack,4088,3,3.875e-08,0,0,0,4.65675e-06,1,4112,2.525e-08,1,4112,1.11475e-06,1,4112,0,255
pstack,4088,4,4.125e-08,0,0,0,4.6615e-06,1,4112,2.55e-08,1,4112,1.0955e-06,1,4112,0,255
pstack,4088,5,4.25e-08,0,0,0,4.65325e-06,1,4112,2.575e-08,1,4112,1.1165e-06,1,4112,0,255
pstack,4088,6,4.025e-08,0,0,0,4.78675e-06,1,4112,2.625e-08,1,4112,1.09925e-06,1,4112,0,255
pstack,4088,7,4.2e-08,0,0,0,4.71125e-06,1,4112,2.575e-08,1,4112,1.11525e-06,1,4112,0,255
pstack,4088,8,7.475e-08,0,0,0,4.766e-06,1,4112,2.575e-08,1,4112,1.09525e-06,1,4112,0,255
pstack,4088,9,8.2e-08,0,0,0,4.8115e-06,1,4112,2.575e-08,1,4112,1.09625e-06,1,4112,0,255
pstack,4088,10,9.125e-08,0,0,0,5.0125e-06,1,4112,2.6e-08,1,4112,1.0995e-06,1,4112,0,255
pstack,4088,11,1.5e-07,0,0,0,5.73975e-06,1,4112,2.6e-08,1,4112,1.111e-06,1,4112,0,255
pstack,4088,12,4.2075e-07,0,0,0,7.08875e-06,1,4112,2.525e-08,1,4112,1.11775e-06,1,4112,0,255
pstack,4088,13,9.29e-07,0,0,0,9.68925e-06,1,4112,2.55e-08,1,4112,1.1235e-06,1,4112,0,255
pstack,4088,14,1.894e-06,0,0,0,1.41165e-05,1,4112,2.525e-08,1,4112,1.12325e-06,1,4112,0,255
pstack,4088,15,3.80475e-06,0,0,0,2.33902e-05,1,4112,2.55e-08,1,4112,1.163e-06,1,4112,0,255
pstack,4088,16,8.087e-06,0,0,0,4.29718e-05,1,4112,2.575e-08,1,4112,1.20325e-06,1,4112,0,255
pstack,4088,17,2.79453e-05,0,0,0,9.16418e-05,1,4112,2.575e-08,1,4112,1.61925e-06,1,4112,0,255
pstack,4088,18,6.7471e-05,0,0,0,0.000183536,1,4112,2.6e-08,1,4112,1.64575e-06,1,4112,0,255
pstack,4088,19,0.000129326,0,0,0,0.000359296,1,4112,2.575e-08,1,4112,1.841e-06,1,4112,0,255
pstack,4088,20,0.00025933,0,0,0,0.000760914,1,4112,2.625e-08,1,4112,2.39775e-06,1,4112,0,255
soheap,32,1,1.91825e-06,0,0,0,1.18488e-05,5,1920,1.23118e-05,5,2112,1.12965e-05,5,2112,0,255
soheap,32,2,7.485e-07,0,0,0,1.63595e-05,5,2688,1.93057e-05,5,2976,1.91545e-05,5,3024,0,255
soheap,32,3,3.42e-07,0,0,0,1.82818e-05,5,3456,2.38453e-05,5,4032,1.99767e-05,5,4128,0,255
soheap,32,4,7.5425e-07,0,0,0,2.2273e-05,5,4224,2.63455e-05,5,4752,2.41578e-05,5,4896,0,255
soheap,32,5,8.3825e-07,0,0,0,2.63557e-05,5,4992,2.85675e-05,5,5520,2.72797e-05,5,5664,0,255
soheap,32,6,7.835e-07,0,0,0,2.9633e-05,5,5760,3.06115e-05,5,6336,3.1375e-05,5,6624,0,255
soheap,32,7,1.001e-06,0,0,0,4.36418e-05,5,6528,3.72362e-05,5,7104,3.46055e-05,5,7392,0,255
soheap,32,8,5.885e-07,0,0,0,3.1588e-05,5,7296,3.78408e-05,5,7872,3.64808e-05,5,8016,0,255
soheap,32,9,1.53175e-06,0,0,0,3.92855e-05,5,8064,4.1975e-05,5,8640,4.28388e-05,5,9024,0,255
soheap,32,10,1.271e-06,0,0,0,4.24268e-05,5,8832,4.7048e-05,5,9408,4.44125e-05,5,9552,0,255
soheap,32,11,1.23425e-06,0,0,0,4.70192e-05,5,9600,5.23998e-05,5,10176,4.85893e-05,5,10272,0,255
soheap,32,12,1.3715e-06,0,0,0,5.16635e-05,5,10368,5.55002e-05,5,10944,5.43722e-05,5,11184,0,255
soheap,32,13,1.43775e-06,0,0,0,5.75135e-05,5,11136,5.98322e-05,5,11712,5.93432e-05,5,12048,0,255
soheap,32,14,1.7925e-06,0,0,0,7.06213e-05,5,11904,6.78175e-05,5,12480,6.69748e-05,5,12672,0,255
soheap,32,15,1.29225e-06,0,0,0,6.64845e-05,5,12672,6.95073e-05,5,13248,6.97832e-05,5,13536,0,255
soheap,32,16,1.498e-06,0,0,0,7.46762e-05,5,13440,7.71632e-05,5,14016,7.7428e-05,5,14256,0,255
soheap,32,17,2.25425e-06,0,0,0,8.84953e-05,5,14208,8.70222e-05,5,14784,8.5636e-05,5,15072,0,255
soheap,32,18,2.38425e-06,0,0,0,9.30278e-05,5,14976,8.71057e-05,5,15552,9.24585e-05,5,15744,0,255
soheap,32,19,2.15075e-06,0,0,0,9.59872e-05,5,15744,9.54938e-05,5,16320,9.52538e-05,5,16656,0,255
soheap,32,20,2.19475e-06,0,0,0,9.91152e-05,5,16512,9.64068e-05,5,17088,9.5823e-05,5,17376,0,255
soheap,32,21,2.69875e-06,0,0,0,0.000105543,5,17280,0.000108584,5,17856,0.000106752,5,18000,0,255
soheap,32,22,2.3975e-06,0,0,0,0.000109868,5,18048,0.000108982,5,18624,0.000108931,5,18864,0,255
soheap,32,23,2.57425e-06,0,0,0,0.000116065,5,18816,0.000113582,5,19392,0.00011432,5,19632,0,255
soheap,32,24,2.76625e-06,0,0,0,0.000126189,5,19584,0.000123554,5,20160,0.000120187,5,20400,0,255
soheap,32,25,2.95225e-06,0,0,0,0.000125592,5,20352,0.00012494,5,20928,0.000126084,5,21216,0,255
soheap,32,26,2.91225e-06,0,0,0,0.000143343,5,21120,0.000133385,5,21696,0.00013138,5,21984,0,255
soheap,152,1,4e-07,0,0,0,1.16803e-05,5,6720,1.3762e-05,5,7392,1.28555e-05,5,7392,0,255
soheap,152,2,2.6525e-07,0,0,0,1.50115e-05,5,9408,1.89505e-05,5,10584,1.8246e-05,5,11088,0,255
soheap,152,3,2.3675e-07,0,0,0,1.90145e-05,5,12096,2.33582e-05,5,13776,2.33518e-05,5,14448,0,255
soheap,152,4,2.34e-07,0,0,0,2.2676e-05,5,14784,2.7855e-05,5,16296,2.75165e-05,5,17304,0,255
soheap,152,5,2.4325e-07,0,0,0,2.62458e-05,5,17472,3.08745e-05,5,19320,3.24032e-05,5,19992,0,255
soheap,152,6,2.765e-07,0,0,0,3.08922e-05,5,20160,3.46525e-05,5,22176,4.07185e-05,5,23016,0,255
soheap,152,7,2.6275e-07,0,0,0,3.443e-05,5,22848,4.03165e-05,5,24864,4.20757e-05,5,25368,0,255
soheap,152,8,2.5775e-07,0,0,0,3.82838e-05,5,25536,4.25223e-05,5,27552,4.56778e-05,5,28896,0,255
soheap,152,9,2.4775e-07,0,0,0,4.3133e-05,5,28224,4.75897e-05,5,30240,4.79285e-05,5,31080,0,255
soheap,152,10,2.19e-07,0,0,0,4.82047e-05,5,30912,5.1222e-05,5,32928,5.38292e-05,5,33936,0,255
soheap,152,11,4.72e-07,0,0,0,5.22843e-05,5,33600,5.7182e-05,5,35616,5.87117e-05,5,36456,0,255
soheap,152,12,5.08e-07,0,0,0,6.01935e-05,5,36288,6.50895e-05,5,38304,6.42825e-05,5,38976,0,255
soheap,152,13,8.035e-07,0,0,0,7.321e-05,5,38976,7.0973e-05,5,40992,7.36975e-05,5,41832,0,255
soheap,152,14,5.7475e-07,0,0,0,7.30557e-05,5,41664,7.8834e-05,5,43680,7.72075e-05,5,44016,0,255
soheap,152,15,2.978e-06,0,0,0,9.4837e-05,5,44352,9.22183e-05,5,46368,9.14512e-05,5,47208,0,255
soheap,152,16,2.035e-06,0,0,0,9.72383e-05,5,47040,0.000100577,5,49056,9.77647e-05,5,50064,0,255
soheap,152,17,2.3185e-06,0,0,0,0.0001033,5,49728,0.000106641,5,51744,0.000101788,5,52416,0,255
soheap,152,18,2.2035e-06,0,0,0,0.000109383,5,52416,0.000108535,5,54432,0.000110195,5,55272,0,255
soheap,152,19,2.27625e-06,0,0,0,0.000114601,5,55104,0.000113496,5,57120,0.000122931,5,58128,0,255
soheap,152,20,2.33325e-06,0,0,0,0.000121342,5,57792,0.00011928,5,59808,0.00012099,5,60480,0,255
soheap,248,1,5.0125e-07,0,0,0,1.3107e-05,5,10560,1.54622e-05,5,11616,1.438e-05,5,11616,0,255
soheap,248,2,2.8375e-07,0,0,0,1.69775e-05,5,14784,2.10915e-05,5,17160,2.08487e-05,5,17688,0,255
soheap,248,3,2.3225e-07,0,0,0,2.14673e-05,5,19008,2.6033e-05,5,21120,2.59427e-05,5,22176,0,255
soheap,248,4,2.265e-07,0,0,0,2.60152e-05,5,23232,3.07973e-05,5,26136,3.18345e-05,5,26928,0,255
soheap,248,5,2.605e-07,0,0,0,3.02355e-05,5,27456,3.58545e-05,5,30096,3.6006e-05,5,31680,0,255
soheap,248,6,2.74e-07,0,0,0,3.97437e-05,5,31680,4.01445e-05,5,34848,3.99505e-05,5,35904,0,255
soheap,248,7,2.735e-07,0,0,0,4.21695e-05,5,35904,4.48485e-05,5,39072,4.75225e-05,5,40392,0,255
soheap,248,8,2.8325e-07,0,0,0,4.36758e-05,5,40128,5.09795e-05,5,43032,4.9095e-05,5,44088,0,255
soheap,248,9,2.9475e-07,0,0,0,4.96567e-05,5,44352,5.41048e-05,5,47520,5.48263e-05,5,48312,0,255
